Totals for data,Async,Foundation,KnownOrigin,Makersplace,Nifty Gateway,OpenSea,Rarible,SuperRare,Zora
2020-07-21,1496124,0,7126561,21720795,388360,84823051,63485895,18044248,0
2020-07-20,1309991,0,11303336,24623357,1142867,48307080,57531405,24733346,0
2020-07-19,1737955,0,7616917,7527302,1047509,70060608,73550970,17914194,0
2020-07-18,2857769,0,3837755,7633988,469026,87383069,57191835,23224012,0
2020-07-17,5704302,0,7879683,22458960,2524401,64761678,30805343,27087155,0
2020-07-16,1630700,0,4664126,28863669,22539436,72765311,46102199,25753412,0
2020-07-15,974020,0,7047157,19016295,1434095,87367590,38602375,17038842,0
2020-07-14,9114056,0,8606798,20995081,1068048,90278987,19947157,17003707,0
2020-07-13,3336931,0,3289682,36354761,466998,93104429,23349404,19747502,0
2020-07-12,3353729,0,8737739,20681617,1234880,112990233,21449270,17690549,0
2020-07-11,2964763,0,6936274,15037590,5159550,133429019,25201296,18778296,0
2020-07-10,2976987,0,20951839,40318836,3361278,106530442,22371279,30084458,0
2020-07-09,5991966,0,5510496,20157459,125929189,104177280,23610548,17517931,0
2020-07-08,4196654,0,2779667,26250027,1959819,94225776,14602629,18193159,0
2020-07-07,3221636,0,4877390,22210414,0,85317452,27848746,20808325,0
2020-07-06,7004488,0,14210753,23791156,62354,102314815,19788400,26128683,0
2020-07-05,2430521,0,2919829,19137608,0,121353702,22428028,22377640,0
2020-07-04,1998531,0,2932751,17210162,357339,89285724,19375854,16702843,0
2020-07-03,6429544,0,12615581,19408524,3532505,72813605,21524662,16259181,0
2020-07-02,2618735,0,3571674,19712700,39749223,81524072,22966837,22621807,0
2020-07-01,12409524,0,7431570,31985954,949842,91808253,30550821,24145541,0
2020-06-30,9783871,0,4781057,9985761,929761,80368995,28054621,18264390,0
2020-06-29,1183374,0,6332691,24404931,180333,74463661,21126379,18406278,0
2020-06-28,6108486,0,5487574,19262976,3838480,84606837,26837786,12996452,0
2020-06-27,8321367,0,8896909,24031422,146433,77736134,22785529,17157497,0
2020-06-26,2905576,0,5928176,36218528,2269259,80469303,19367188,18955020,0
2020-06-25,272626,0,5309164,22588395,147680838,75627820,13627292,20913647,0
2020-06-24,3878160,0,5609384,19066746,1674210,74909244,9462774,22079802,0
2020-06-23,1049747,0,8335072,18047505,548583,81093583,15949551,22616088,0
2020-06-22,1009287,0,3926283,29107581,1099851,75846120,16579199,26494298,0
2020-06-21,1760353,0,9976455,27393921,2400090,86666160,21572170,17009927,0
2020-06-20,1570360,0,9378047,30712445,456018,81638826,15342721,16438821,0
2020-06-19,2219179,0,14842137,29881026,373167,77500567,13442175,21161064,0
2020-06-18,5574699,0,9469273,35981041,95385244,75846537,10011743,20279182,0
2020-06-17,1839270,0,4589125,28650624,314570,59572578,11867251,21954965,0
2020-06-16,11766918,0,7040431,22650942,419239,93415485,15682082,22000741,0
2020-06-15,2954868,0,2917414,20179336,350600,62326411,21937432,29168507,0
2020-06-14,1082554,0,8876639,28411476,105424,99686416,18612260,24686807,0
2020-06-13,1902573,0,8332460,20240180,401939,94661541,13185777,22796129,0
2020-06-12,2956803,0,7137867,34912080,1117500,62698668,18632666,23441045,0
2020-06-11,1721344,0,11253556,51798475,77922682,71399341,19356745,22247448,0
2020-06-10,1637431,0,4631828,8379902,242997,60321942,14190512,22607660,0
2020-06-09,794217,0,11459427,10712730,1190464,104425770,16838692,23185141,0
2020-06-08,1049550,0,10256778,39407129,0,62095090,11200143,27816616,0
2020-06-07,1941819,0,4362502,23827579,361437,53690764,12228413,19513340,0
2020-06-06,2381397,0,6434442,24596014,312536,67599356,13756313,26785292,0
2020-06-05,5223729,0,5587075,31972596,162776,89540404,17562025,27546225,0
2020-06-04,822485,0,5487886,35256369,16005506,115497240,14548029,22691832,0
2020-06-03,1395435,0,7182128,24539535,1623732,77266780,8231230,22770260,0
2020-06-02,1658005,0,3329418,27575313,306664,77264149,17342081,19376990,0
